Gucci,Prada,Balenciaga,Louis Vuitton
28,6,5,22
28,6,4,22
28,5,4,20
24,5,4,19
25,5,4,20
26,6,4,20
25,5,4,20
27,5,4,21
26,6,4,20
27,5,4,21
25,6,4,21
24,6,4,19
24,6,4,18
20,5,3,15
25,5,4,19
74,6,4,20
39,6,5,25
32,7,5,23
32,7,4,24
33,7,4,25
40,7,5,30
32,8,5,27
26,6,4,22
26,7,4,20
25,8,4,21
25,7,4,20
24,7,4,20
25,6,4,21
24,7,4,22
25,6,4,21
27,6,4,19
29,6,4,19
28,6,4,22
28,6,4,21
28,6,4,20
27,7,4,21
30,7,5,21
28,7,4,22
30,8,5,22
29,7,4,24
29,7,4,24
27,7,4,20
28,7,4,21
29,8,4,21
27,7,5,21
27,7,4,22
27,7,4,21
25,7,4,21
24,7,4,21
26,7,4,22
26,7,4,21
33,7,4,20
28,7,4,19
25,7,4,20
24,7,4,20
24,7,4,20
23,7,4,20
24,7,5,20
24,7,5,21
23,8,7,20
24,7,5,20
23,7,5,21
24,7,5,20
24,7,5,20
29,7,5,20
35,7,5,19
40,8,6,21
49,8,6,24
86,10,8,29
74,9,7,30
56,9,7,27
49,9,7,28
54,11,8,31
47,11,8,31
35,10,7,24
33,9,6,22
30,8,6,21
29,8,6,20
36,8,6,20
41,9,6,22
33,8,6,22
37,9,8,22
39,8,6,21
34,8,7,20
33,9,7,20
32,9,6,20
29,8,6,20
28,8,6,19
27,8,6,19
28,9,6,20
30,9,6,21
29,9,6,22
29,9,10,20
27,8,7,19
28,8,9,19
27,9,8,18
27,9,7,18
27,9,7,18
25,9,7,21
24,8,6,19
33,9,8,19
32,9,7,18
33,10,7,24
30,9,7,19
28,9,8,18
26,10,8,19
26,9,7,19
24,9,7,18
23,9,7,17
23,9,7,18
22,8,6,16
21,8,6,16
22,8,7,16
22,9,9,16
22,9,8,16
21,9,9,17
20,8,9,16
20,8,7,16
22,8,7,17
23,10,7,18
29,11,37,23
25,10,100,21
25,10,29,22
27,10,14,22
29,12,11,26
31,13,12,28
23,10,8,20
23,9,7,18
20,8,6,18
22,8,6,17
19,8,6,16
21,8,6,16
21,8,5,17
20,9,5,17
20,8,5,16
20,8,5,17
20,9,5,17
20,9,5,17
21,9,6,16
20,9,7,16
20,9,6,16
20,9,6,15
20,9,5,15
20,10,5,16
21,9,5,16
21,9,5,16
21,9,5,16
20,9,5,16
21,9,5,15
21,9,5,16
19,9,5,20
19,9,5,18
19,10,5,15
18,9,5,15
18,9,5,16
18,9,6,16
19,9,5,16
18,9,5,15
17,9,5,15
20,8,5,15
18,9,5,15
18,9,5,15
17,9,5,14
16,10,5,15
18,9,5,15
16,9,5,14
17,9,5,14
18,9,5,14
17,8,5,14
15,8,5,13
18,10,5,17
19,10,6,17
24,12,7,20
22,11,6,18
21,11,7,18
23,11,6,20
26,12,6,23
28,14,7,26
20,10,5,20
18,10,5,17
18,9,5,17
17,9,6,16
16,9,5,15
17,10,5,15
17,9,6,15
19,10,5,16
17,10,5,16
18,9,5,15
17,9,5,15
18,9,6,16
18,9,6,16
18,9,6,15
17,9,5,14
18,10,5,15
18,10,5,16
18,10,5,16
19,11,5,17
19,10,5,16
18,10,5,16
18,10,5,16
17,10,5,16
20,10,5,16
17,10,5,16
17,9,5,15
17,10,5,17
17,14,5,15
15,10,5,14
16,10,5,17
15,10,5,15
15,9,5,15
15,9,5,15
16,9,5,15
15,9,5,15
15,9,5,15
16,9,5,15
15,9,5,15
15,9,5,15
15,15,6,14
15,10,5,14
20,9,5,16
16,9,5,16
15,9,5,15
15,8,5,15
17,10,5,17
18,10,6,19
23,12,6,22
20,11,6,21
21,11,6,21
22,12,6,24
27,15,8,32
20,11,6,28
16,9,6,22
16,8,6,19
15,9,6,17
14,8,5,18
15,9,5,16
15,9,5,17
16,10,5,18
15,9,6,17
14,9,5,16
15,10,6,17
15,9,5,18
15,9,5,17
15,9,5,16
14,10,5,17
16,10,5,19
16,9,5,17
16,9,5,16
16,10,5,18
16,9,5,18
15,13,5,18
15,11,5,18
15,9,5,18
15,9,5,17
15,9,5,16
14,9,5,16
15,12,5,17
14,10,6,16
15,10,6,18
16,14,6,17
16,13,6,17
15,12,6,18
